,Tractate,Unique Tractates Referenced,Exponential-Decrease-Score
0,Chullin,62,116.89577852011915
1,Menachot,58,104.1098582111299
2,Eruvin,58,104.11961320040427
3,Berakhot,56,101.77476863324046
4,Gittin,55,99.0613626539598
5,Avodah Zarah,55,93.15401339507207
6,Bekhorot,55,95.35521305304428
7,Bava Metzia,54,96.7636258301427
8,Pesachim,53,98.12823985467958
9,Niddah,52,91.59834762607352
10,Chagigah,51,87.70597839355469
11,Shabbat,51,93.73074903174845
12,Bava Kamma,51,91.50913565878997
13,Bava Batra,51,93.48292022838086
14,Kiddushin,50,90.7797232517002
15,Ketubot,48,86.27256274083626
16,Beitzah,47,79.6522365808487
17,Sukkah,47,84.69956454820817
18,Sotah,45,76.47444889880535
19,Megillah,45,77.95748043013737
20,Arakhin,45,76.91127727914136
21,Sanhedrin,44,83.24673657807102
22,Makkot,44,75.13363409041631
23,Nazir,44,78.29042801260948
24,Keritot,44,71.53747296286747
25,Nedarim,43,75.31631442904472
26,Temurah,41,70.44600623844599
27,Shevuot,41,72.194636791005
28,Rosh Hashanah,40,68.44915628246963
29,Moed Katan,37,63.7000732421875
30,Horayot,37,56.52581787109375
31,Yoma,36,71.1487001739068
32,Yevamot,36,69.9527091364871
33,Zevachim,36,70.46337077020688
34,Meilah,35,54.75389099120366
35,Taanit,33,57.51600646972656
36,Tamid,20,26.12499237060547
